item_code,item_id,title,category_id,brand,price_event
14,p115,Asus Laptop Model 1,camera,BrandA,14813.25
11,p112,Lenovo Laptop Model 3,router,BrandE,10274.83
71,p172,Sony Tv Model 3,headphones,BrandB,45470.7
89,p190,TCL Tv Model 1,printer,BrandD,22315.06
12,p113,Lenovo Laptop Model 4,printer,BrandC,80904.7
10,p111,Lenovo Laptop Model 2,camera,BrandE,62232.46
8,p109,Dell Laptop Model 5,tv,BrandA,98535.93
58,p159,Samsung Tablet Model 5,printer,BrandF,36170.8
9,p110,Lenovo Laptop Model 1,tablet,BrandE,25235.28
88,p189,Mi Tv Model 5,tv,BrandE,84441.34
51,p152,Apple Tablet Model 3,smartphone,BrandC,94347.06
50,p151,Apple Tablet Model 2,monitor,BrandF,14822.4
74,p175,Samsung Tv Model 1,printer,BrandD,99755.22
59,p160,Lenovo Tablet Model 1,camera,BrandE,68347.06
34,p135,OnePlus Smartphone Model 1,printer,BrandG,44040.76
33,p134,Samsung Smartphone Model 5,tablet,BrandE,11533.67
25,p126,Apple Smartphone Model 2,printer,BrandB,54397.52
2,p103,HP Laptop Model 4,printer,BrandA,83333.89
72,p173,Sony Tv Model 4,smartphone,BrandA,81785.3
70,p171,Sony Tv Model 2,camera,BrandB,61051.8
15,p116,Asus Laptop Model 2,tv,BrandB,3081.39
35,p136,OnePlus Smartphone Model 2,monitor,BrandF,14097.87
24,p125,Apple Smartphone Model 1,smartphone,BrandA,36074.46
86,p187,Mi Tv Model 3,smartphone,BrandF,73092.15
68,p169,Amazon Tablet Model 5,tablet,BrandD,28574.97
61,p162,Lenovo Tablet Model 3,router,BrandB,38517.34
54,p155,Samsung Tablet Model 1,headphones,BrandF,49179.47
67,p168,Amazon Tablet Model 4,laptop,BrandB,85281.91
30,p131,Samsung Smartphone Model 2,smartphone,BrandD,25374.32
84,p185,Mi Tv Model 1,gaming_console,BrandE,93534.92
1,p102,HP Laptop Model 3,gaming_console,BrandD,8251.81
44,p145,Realme Smartphone Model 1,tv,BrandA,16615.94
95,p196,Canon Camera Model 2,tablet,BrandE,60877.15
87,p188,Mi Tv Model 4,smartphone,BrandB,56427.47
52,p153,Apple Tablet Model 4,tv,BrandG,78949.08
28,p129,Apple Smartphone Model 5,monitor,BrandB,82232.1
4,p105,Dell Laptop Model 1,gaming_console,BrandA,73124.96
65,p166,Amazon Tablet Model 2,gaming_console,BrandF,82022.92
73,p174,Sony Tv Model 5,router,BrandB,25153.46
99,p200,Nikon Camera Model 1,tv,BrandD,95837.64
92,p193,TCL Tv Model 4,router,BrandE,55238.32
56,p157,Samsung Tablet Model 3,camera,BrandA,34247.91
49,p150,Apple Tablet Model 1,tablet,BrandF,7357.66
53,p154,Apple Tablet Model 5,tv,BrandA,39557.2
0,p101,HP Laptop Model 2,camera,BrandC,85490.35
69,p170,Sony Tv Model 1,gaming_console,BrandG,49333.72
6,p107,Dell Laptop Model 3,router,BrandC,46014.23
96,p197,Canon Camera Model 3,router,BrandG,9107.72
79,p180,LG Tv Model 1,tv,BrandB,67275.43
98,p199,Canon Camera Model 5,tablet,BrandC,96408.74
55,p156,Samsung Tablet Model 2,monitor,BrandC,44112.23
57,p158,Samsung Tablet Model 4,monitor,BrandB,67149.66
23,p124,Acer Laptop Model 5,tv,BrandD,26575.89
46,p147,Realme Smartphone Model 3,camera,BrandB,53878.37
37,p138,OnePlus Smartphone Model 4,tablet,BrandF,75525.43
60,p161,Lenovo Tablet Model 2,monitor,BrandD,96583.27
97,p198,Canon Camera Model 4,tv,BrandB,9036.56
20,p121,Acer Laptop Model 2,router,BrandA,59786.31
90,p191,TCL Tv Model 2,monitor,BrandC,24107.96
21,p122,Acer Laptop Model 3,camera,BrandG,82598.79
36,p137,OnePlus Smartphone Model 3,router,BrandF,55458.56
41,p142,Xiaomi Smartphone Model 3,router,BrandA,82666.79
3,p104,HP Laptop Model 5,gaming_console,BrandF,71267.5
91,p192,TCL Tv Model 3,headphones,BrandC,42132.54
62,p163,Lenovo Tablet Model 4,tablet,BrandG,48948.8
48,p149,Realme Smartphone Model 5,printer,BrandD,98095.69
19,p120,Acer Laptop Model 1,laptop,BrandD,96569.01
43,p144,Xiaomi Smartphone Model 5,router,BrandE,85323.76
29,p130,Samsung Smartphone Model 1,camera,BrandD,67016.23
38,p139,OnePlus Smartphone Model 5,router,BrandB,11557.67
82,p183,LG Tv Model 4,camera,BrandA,4302.09
18,p119,Asus Laptop Model 5,tv,BrandG,72696.45
47,p148,Realme Smartphone Model 4,tv,BrandA,62334.14
85,p186,Mi Tv Model 2,headphones,BrandF,74483.63
16,p117,Asus Laptop Model 3,gaming_console,BrandG,83150.97
42,p143,Xiaomi Smartphone Model 4,tablet,BrandG,60001.18
32,p133,Samsung Smartphone Model 4,tablet,BrandG,86777.34
75,p176,Samsung Tv Model 2,laptop,BrandC,6186.5
78,p179,Samsung Tv Model 5,headphones,BrandA,64689.73
45,p146,Realme Smartphone Model 2,router,BrandG,72384.01
13,p114,Lenovo Laptop Model 5,headphones,BrandE,66015.89
27,p128,Apple Smartphone Model 4,router,BrandD,16582.52
5,p106,Dell Laptop Model 2,router,BrandB,1760.02
81,p182,LG Tv Model 3,printer,BrandE,63093.52
76,p177,Samsung Tv Model 3,router,BrandE,55876.32
94,p195,Canon Camera Model 1,laptop,BrandE,87761.88
39,p140,Xiaomi Smartphone Model 1,monitor,BrandG,37415.25
63,p164,Lenovo Tablet Model 5,printer,BrandA,37521.21
7,p108,Dell Laptop Model 4,smartphone,BrandG,31107.33
26,p127,Apple Smartphone Model 3,headphones,BrandD,92130.57
31,p132,Samsung Smartphone Model 3,headphones,BrandC,94206.07
77,p178,Samsung Tv Model 4,router,BrandC,91365.89
22,p123,Acer Laptop Model 4,router,BrandE,73056.96
83,p184,LG Tv Model 5,camera,BrandC,51767.84
64,p165,Amazon Tablet Model 1,router,BrandG,91066.56
17,p118,Asus Laptop Model 4,camera,BrandC,15446.55
80,p181,LG Tv Model 2,tablet,BrandB,43780.31
40,p141,Xiaomi Smartphone Model 2,router,BrandB,57268.66
93,p194,TCL Tv Model 5,tv,BrandG,9534.07
66,p167,Amazon Tablet Model 3,router,BrandG,15813.59
